寶貨名,樣式,價格,二十八品,六名,五物,備注
小泉直一,徑六分，重一銖,1,錢貨六品,銅貨,銅,六泉十布，廣為流傳
幺泉一十,七分，三銖,10,錢貨六品,銅貨,銅,六泉十布
幼泉二十,八分，五銖,20,錢貨六品,銅貨,銅,六泉十布
中泉三十,九分，七銖,30,錢貨六品,銅貨,銅,六泉十布
壯泉四十,一寸，九銖,40,錢貨六品,銅貨,銅,六泉十布
大泉五十,,50,錢貨六品,銅貨,銅,六泉十布，廣為流傳
黃金一斤,,10000,金貨一品,金貨,金,暫無出土
朱提銀,重八兩,1580,銀貨二品,銀貨,銀,暫無出土
他銀,,1000,銀貨二品,銀貨,銀,暫無出土，亦重八兩
元龜,岠冉長尺二寸,2610,龜貨四品,龜貨,龜,一尺約23cm
公龜,九寸,500,龜貨四品,龜貨,龜,
侯龜,七寸以上,300,龜貨四品,龜貨,龜,
子龜,五寸以上,100,龜貨四品,龜貨,龜,
大貝,四寸八分以上，二枚為一朋,216,貝貨五品,貝貨,貝,1朋即2枚貝殼
壯貝,三寸六分以上，一朋,50,貝貨五品,貝貨,貝,
幺貝,二寸四分以上，一朋,30,貝貨五品,貝貨,貝,
小貝,寸二分以上，一朋,10,貝貨五品,貝貨,貝,
,不盈寸二分漏度，不得為朋,3,貝貨五品,貝貨,貝,
大布黃千,長二寸四分，重一兩,1000,布貨十品,布貨,銅,六泉十布
次布九百,長二寸三分，重二三銖,900,布貨十品,布貨,銅,六泉十布
第布八百,長二寸二分，重二二銖,800,布貨十品,布貨,銅,六泉十布
壯布七百,長二寸一分，重二一銖,700,布貨十品,布貨,銅,六泉十布
中布六百,長二寸，重二十銖,600,布貨十品,布貨,銅,六泉十布
差布五百,長寸九分，重十九銖,500,布貨十品,布貨,銅,六泉十布
序布四百,長寸八分，重十八銖,400,布貨十品,布貨,銅,六泉十布
幼布三百,長寸七分，重十七銖,300,布貨十品,布貨,銅,六泉十布
幺布二百,長寸六分，重十六銖,200,布貨十品,布貨,銅,六泉十布
小布一百,長寸五分，重十五銖,100,布貨十品,布貨,銅,六泉十布
